date,index_name,index_code,proxy_name,source_type,open,high,low,close,volume,trading_value
2026-08-06,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13545,13950,13140,13580,35447884,
2026-08-07,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13700,13955,13050,13605,25159454,
2026-08-10,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13810,14810,13720,14780,54948586,
2026-08-11,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14655,15200,14410,14780,52590474,
2026-08-12,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14685,14790,14305,14705,29279260,
2026-08-13,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14710,14985,14545,14800,29588942,
2026-08-14,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14890,15220,14405,14830,34894164,
2026-08-18,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14855,15090,14135,14190,47088437,
2026-08-19,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13760,14550,13625,14230,33206929,
2026-08-20,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14700,14820,14420,14615,23549412,
2026-08-21,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14235,14240,13660,13810,35849575,
2026-08-24,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13810,14260,13805,14075,39650206,
2026-08-25,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13860,14300,13400,14300,27268863,
2026-08-26,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14240,14395,14000,14200,22728928,
2026-08-27,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14125,14525,14120,14500,26133274,
2026-08-28,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14385,14570,14280,14475,27689785,
2026-08-31,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14100,14100,13760,13770,7377562,
